company_id,company_name,document_type,year,source_type,url,language,fiscal_year_end,notes
berkshire_hathaway,Berkshire Hathaway,chairman_letter,2024,standalone_letter_pdf,https://www.berkshirehathaway.com/letters/2024ltr.pdf,en,12-31,Reviewed direct Berkshire 2024 annual shareholder letter PDF.
costco,Costco,shareholder_letter,2024,annual_report_pdf,https://s201.q4cdn.com/287523651/files/doc_financials/2024/ar/COST-2024-Annual-Report.pdf,en,09-01,Reviewed Costco 2024 annual report PDF; contains Dear Costco Shareholders letter.
amazon,Amazon,shareholder_letter,2024,standalone_letter_pdf,https://s2.q4cdn.com/299287126/files/doc_financials/2025/ar/2024-Shareholder-Letter-Final.pdf,en,12-31,Reviewed direct Amazon 2024 Letter to Shareholders PDF.
apple,Apple,shareholder_letter,2024,html_letter,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,en,09-28,Reviewed official SEC HTML Apple FY2024 Form 10-K; not a standalone shareholder letter.
meta,Meta,shareholder_letter,2024,annual_report_pdf,https://www.annualreports.com/HostedData/AnnualReportArchive/f/NASDAQ_META_2024.pdf,en,12-31,First-pass Meta 2024 annual report PDF via AnnualReports; use as annual-report source unless replaced with direct SEC/IR PDF.
alphabet,Alphabet,shareholder_letter,2024,html_letter,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,en,12-31,Reviewed official SEC HTML Alphabet FY2024 Form 10-K; not a standalone shareholder letter.
danaher,Danaher,shareholder_letter,2024,annual_report_pdf,https://filecache.investorroom.com/mr5ir_danaher/911/download/Danaher%202024%20Annual%20Report.pdf,en,12-31,Reviewed Danaher 2024 annual report PDF.
constellation_software,Constellation Software,shareholder_letter,2024,html_letter,https://www.csisoftware.com/investor-relations/,en,12-31,First-pass Constellation investor-relations page; may require replacement with direct President's Letter PDF after quality review.
markel,Markel Corporation,shareholder_letter,2024,standalone_letter_pdf,https://content.markel.com/api/public/content/shareholder-letter-2024?v=332d095c,en,12-31,Reviewed direct Markel 2024 shareholder letter PDF.
brookfield,Brookfield Corporation,shareholder_letter,2024,standalone_letter_pdf,https://bn.brookfield.com/sites/brookfield-bn-v2/files/brookfield-bn/reports-filings/annual-reports/letter-to-shareholders.pdf,en,12-31,Reviewed Brookfield 2024 Letter to Shareholders PDF.
